TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
fo 881/1665			PRUSSIA: Desp. Organization of an Army of Reserve in England. (Col. Walker). Missing at transfer 	May 7, 1869	18690507	18690507			O	N	30	4532147	6
fo 881/1666			RUSSIA: Corres. Mr. E. C. Grenville-Murray 	Dec. 1868 to Mar. 1869	18681201	18690331		Bound: Russia 34. Copy. 	O	N	30	4532274	6
fo 881/1667			RUSSIA: Corres. With Sir P. Colquhoun. Case of Mr. E. C. Grenville-Murray 	Oct. and Nov. 1868	18681001	18681130		Bound: Russia 34. Copy.	O	N	30	4532271	6
fo 881/1668			RUSSIA: Letter. From Mr. E. C. Grenville-Murray. Hopes for Re-employment 	Nov. 27, 1868	18681127	18681127		Bound: Russia 34. Copy.	O	N	30	4532272	6
fo 881/1670			JAPAN: List. Japan Establishment. Missing at transfer  	1869	18690101	18691231			O	N	30	4530608	6
fo 881/1671			CHINA: List. China Establishment. Missing at transfer  	Dec. 31, 1868	18681231	18681231			O	N	30	4526388	6
fo 881/1672			GENERAL: Memo. Suggestions for Act of Parliament to carry out recommendations of Royal Commission on Laws of Naturalization and Allegiance. (Mr. C. S. A. Abbott) 	July 3, 1869	18690703	18690703		Bound: Mema.	O	N	30	4528825	6
fo 881/1673			JAPAN: Report. Visit of Dr. W. Willis to North Japan to assist Wounded Japanese 	1869	18690101	18691231		Bound: Japan 8.	O	N	30	4530605	6
fo 881/1674			MEXICO: Memo. Relations between Great Britain and Mexico. Claims of British Bondholders. (Mr. A. S. Green) 	July 17, 1869	18690717	18690717		Bound: Mema.	O	N	30	4530894	6
fo 881/1675			CHINA: Corres. With Chamber of Commerce at Shanghai. Revision of Treaty of Tientsin 	Feb. and Mar. 1869	18690201	18690331		Bound: China 4.	O	N	30	4526374	6
fo 881/1676			AUSTRIA-HUNGARY: Report. Trial of Bishop of Linz for Publication of Pastoral Letter subversive of new Austrian Constitution, &amp;c. (Mr. F. R. St. John) 	July 19, 1869	18690719	18690719		Bound: Austria 8.	O	N	30	4525696	6
fo 881/1677			GENERAL: Paper. Application of Acclimatization Society of Queensland for assistance to obtain Exchange of Products with Chile, &amp;c. 	May 15, 1869	18690515	18690515		Bound: General 55.	O	N	30	4528824	6
fo 881/1678			EGYPT: Memo. Firman issued by the Sultan in 1841 conferring Right of Succession to Pashalic of Egypt on Family of Mehemet Ali, and changes made in above by Firmans of May 1866 and June 1867. Annexes. (Mr. A. S. Green) 	Aug. 20, 1869	18690820	18690820		Bound: Mema.	O	N	30	4527409	6
